intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes
3255000,0.0018523524306790537,0.36478762747954724,0.0018523524306790537,0.006991511431867153,6.277112135176651,6.0,4.967483974466434,/nfs3_ib/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/gtdb-rs214-reps.k31.zip,"GCA_003326195.1 Nostoc punctiforme NIES-2108 ASM332619v1",b934245b074c1504958680c36c38a3f9,0.36478762747954724,3255000,0,29950000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-19-POLPIL-B/S-19-POLPIL-B_unmatched_2.fastq,S-19-POLPIL-B,0ec1d06b,1757225000,31,DNA,1000,1757225,True,0.8163230362254622,0.9679930992967004,0.8921580677610813,0.9679930992967004,False,20432,20432,2922401
2933000,0.00166910896441833,0.42538071065989846,0.00166910896441833,0.002038050219665268,2.0306853051483125,2.0,3.0984107934745984,/nfs3_ib/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/gtdb-rs214-reps.k31.zip,"GCF_022829385.1 Methylobacterium sp. J-070 strain=J-070 ASM2282938v1",48fe550b161c1b6a0798cff176c79725,0.42538071065989846,2933000,1,27017000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-19-POLPIL-B/S-19-POLPIL-B_unmatched_2.fastq,S-19-POLPIL-B,0ec1d06b,1757225000,31,DNA,1000,1757225,True,0.8135846234332834,0.9728034229951015,0.8931940232141924,0.9728034229951015,False,5956,26388,2922401
2161000,0.0012297799086628063,0.264828431372549,0.0012297799086628063,0.0012510261254359,1.6918093475242943,1.0,1.0838823874501797,/nfs3_ib/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/gtdb-rs214-reps.k31.zip,"GCF_001557535.2 Burkholderia sp. PAMC 26561 strain=PAMC 26561 ASM155753v2",fd0c18741012ebc26c58ba341945dc59,0.264828431372549,2161000,2,24856000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-19-POLPIL-B/S-19-POLPIL-B_unmatched_2.fastq,S-19-POLPIL-B,0ec1d06b,1757225000,31,DNA,1000,1757225,True,0.805607432428578,0.9580451024624027,0.8818262674454904,0.9580451024624027,False,3656,30044,2922401
960000,0.0005463159242555735,0.19937369519832984,0.0005434705288167423,0.0005574183693476699,1.705759162303665,1.0,1.9916890999332741,/nfs3_ib/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/gtdb-rs214-reps.k31.zip,"GCF_005844085.1 Acetobacteraceae bacterium KEBCLARHB70R strain=KEBCLARHB70R ASM584408v1",498150ab681f0d11140df321d485e8fa,0.20041753653444677,955000,3,23901000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-19-POLPIL-B/S-19-POLPIL-B_unmatched_2.fastq,S-19-POLPIL-B,0ec1d06b,1757225000,31,DNA,1000,1757225,True,0.7847950471418216,0.9494712031639237,0.8671331251528727,0.9494712031639237,False,1629,31673,2922401
890000,0.0005064803881119379,0.12012417330273992,0.0005064803881119379,0.00046365984681773654,1.5224719101123596,1.0,2.559417630782737,/nfs3_ib/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/gtdb-rs214-reps.k31.zip,"GCF_003330725.1 Acidisarcina polymorpha strain=SBC82 ASM333072v1",50eb584445706a041942988680bc0cd3,0.12012417330273992,890000,4,23011000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-19-POLPIL-B/S-19-POLPIL-B_unmatched_2.fastq,S-19-POLPIL-B,0ec1d06b,1757225000,31,DNA,1000,1757225,True,0.7828806677020967,0.9339221127594715,0.8584013902307841,0.9339221127594715,False,1355,33028,2922401
884000,0.0005030659135853405,0.10918570771354087,0.0004051843104895503,0.00036476855845587244,1.497191011235955,1.0,0.8836803641513247,/nfs3_ib/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/gtdb-rs214-reps.k31.zip,"GCF_022829365.1 Methylobacterium sp. J-077 strain=J-077 ASM2282936v1",9427e56a12226d50b9c8d4cf56b920c1,0.1355620303634412,712000,5,22299000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-19-POLPIL-B/S-19-POLPIL-B_unmatched_2.fastq,S-19-POLPIL-B,0ec1d06b,1757225000,31,DNA,1000,1757225,True,0.7827098567240317,0.9375716217026943,0.860140739213363,0.9375716217026943,False,1066,34094,2922401
1830000,0.001041414730612187,0.07704595723765052,0.0003568125880294214,0.0013495752294089688,6.290271132376396,6.0,4.574244981564457,/nfs3_ib/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/gtdb-rs214-reps.k31.zip,"GCF_002246015.1 Nostoc sp. 'Peltigera membranacea cyanobiont' 210A strain=210A ASM224601v1",2c272714751e48563ff716c0bdfeb855,0.22487097566969771,627000,6,21672000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-19-POLPIL-B/S-19-POLPIL-B_unmatched_2.fastq,S-19-POLPIL-B,0ec1d06b,1757225000,31,DNA,1000,1757225,True,0.8012984698755509,0.9530037859518796,0.8771511279137152,0.9530037859518796,False,3944,38038,2922401
489000,0.0002782796739176827,0.0638579756226815,0.00027429612030331916,0.0003298657507987439,2.0,1.0,1.9087046725386707,/nfs3_ib/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/gtdb-rs214-reps.k31.zip,"GCF_009766005.1 Bradyrhizobium sp. S69 strain=S69 ASM976600v1",6e925e11ef1a02ddd098c16a7dec1db9,0.06478537360890302,482000,7,21190000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-19-POLPIL-B/S-19-POLPIL-B_unmatched_2.fastq,S-19-POLPIL-B,0ec1d06b,1757225000,31,DNA,1000,1757225,True,0.7679020984339706,0.9155046349189324,0.8417033666764515,0.9155046349189324,False,964,39002,2922401
457000,0.0002600691431091636,0.07209633972429091,0.00025893098493363117,0.00032439080057801786,2.0835164835164837,1.0,2.2192100236005543,/nfs3_ib/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/gtdb-rs214-reps.k31.zip,"GCA_023231945.1 Comamonadaceae bacterium BS-T2-15 strain=BS-T2-15 ASM2323194v1",be84853b0c595a0b38db8da38d8600ce,0.07241324671209,455000,8,20735000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-19-POLPIL-B/S-19-POLPIL-B_unmatched_2.fastq,S-19-POLPIL-B,0ec1d06b,1757225000,31,DNA,1000,1757225,True,0.766227445798174,0.9187977777661244,0.8425126117821492,0.9187977777661244,False,948,39950,2922401
482000,0.00027429612030331916,0.07134027900406145,0.0002299079514575538,0.00019264981089179753,1.3935643564356435,1.0,0.8090198007079042,/nfs3_ib/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/gtdb-rs214-reps.k31.zip,"GCF_008039875.1 Methylobacterium sp. WL119 strain=WL119 ASM803987v1",e5bf01c613c616b5ef30b491d1b9f44e,0.08511389722761788,404000,9,20331000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-19-POLPIL-B/S-19-POLPIL-B_unmatched_2.fastq,S-19-POLPIL-B,0ec1d06b,1757225000,31,DNA,1000,1757225,True,0.7675450233912691,0.9235999193933347,0.8455724713923018,0.9235999193933347,False,563,40513,2922401
