intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes
2477000,0.0062942145064238085,0.7843571880937302,0.0062942145064238085,0.004822458779833079,6.700040371417037,5.0,7.254420505707017,/nfs3_ib/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/gtdb-rs214-reps.k31.zip,"GCF_000195595.1 Actinomyces sp. oral taxon 170 str. F0386 strain=F0386 ASM19559v1",cac791793cf58055edb445016e628eae,0.7843571880937302,2477000,0,197755000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/projet_PROVID19/Saliva/preproc/GQ21/GQ21_unmatched_2.fastq,GQ21,2661cef0,393536000,31,DNA,1000,393536,True,0.8491767876796121,0.9921954290809839,0.920686108380298,0.9921954290809839,False,16596,16596,3441398
2067000,0.00525237843551797,0.6810543657331136,0.00525237843551797,0.0047777095238621045,7.954523463957426,7.0,14.524751994975182,/nfs3_ib/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/gtdb-rs214-reps.k31.zip,"GCF_000220255.1 Prevotella pallens ATCC 700821 strain=ATCC 700821 ASM22025v1",ae975e88c05929ca5d0da00e93b1b561,0.6810543657331136,2067000,1,195688000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/projet_PROVID19/Saliva/preproc/GQ21/GQ21_unmatched_2.fastq,GQ21,2661cef0,393536000,31,DNA,1000,393536,True,0.8442345024786285,0.9876857026456914,0.91596010256216,0.9876857026456914,False,16442,33038,3441398
2286000,0.005808871361196942,0.6751319261213721,0.005201557163766466,0.005300171616302444,8.910600879335613,7.0,6.859559846676819,/nfs3_ib/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/gtdb-rs214-reps.k31.zip,"GCF_005696555.1 Actinomyces sp. oral taxon 171 str. F0337 strain=F0337 ASM569655v1",addc21e0789598ec415298641d9774f5,0.753957783641161,2047000,2,193641000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/projet_PROVID19/Saliva/preproc/GQ21/GQ21_unmatched_2.fastq,GQ21,2661cef0,393536000,31,DNA,1000,393536,True,0.8469815063469083,0.9909310857566769,0.9189562960517925,0.9909310857566769,False,18240,51278,3441398
2050000,0.0052091803545291915,0.5749148694665154,0.005148194828427387,0.0024129728674219023,4.098716683119447,3.0,6.280238073379843,/nfs3_ib/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/gtdb-rs214-reps.k31.zip,"GCF_000613445.1 Prevotella shahii DSM 15611 = JCM 12083 strain=JCM 12083 ASM61344v1",927a443f638861aea914b9c26b38bdb5,0.5817253121452894,2026000,3,191615000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/projet_PROVID19/Saliva/preproc/GQ21/GQ21_unmatched_2.fastq,GQ21,2661cef0,393536000,31,DNA,1000,393536,True,0.8440096259781027,0.9826757905993707,0.9133427082887366,0.9826757905993707,False,8304,59582,3441398
1972000,0.005010977394698325,0.7128390596745027,0.00500843633111075,0.0022967410337310593,4.0101471334348044,3.0,2.7301980252154907,/nfs3_ib/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/gtdb-rs214-reps.k31.zip,"GCF_013410305.1 Corynebacterium durum strain=DSM 45333 ASM1341030v1",bb2dbb46a577f5244bb32a0d740b2c37,0.7132007233273056,1971000,4,189644000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/projet_PROVID19/Saliva/preproc/GQ21/GQ21_unmatched_2.fastq,GQ21,2661cef0,393536000,31,DNA,1000,393536,True,0.8429541435765798,0.9891562420972051,0.9160551928368925,0.9891562420972051,False,7904,67486,3441398
1967000,0.0049982720767604485,0.7600463678516228,0.0049982720767604485,0.004422040112768125,7.736654804270462,3.0,27.661469269541293,/nfs3_ib/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/gtdb-rs214-reps.k31.zip,"GCA_000227275.1 Neisseria sp. GT4A_CT1 strain=GT4A_CT1 Neisseria_sp_GT4A_CT1_V1",f4e15fbec9415cec0278d4d579401917,0.7600463678516228,1967000,5,187677000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/projet_PROVID19/Saliva/preproc/GQ21/GQ21_unmatched_2.fastq,GQ21,2661cef0,393536000,31,DNA,1000,393536,True,0.8428851134411466,0.9911882198642872,0.9170366666527169,0.9911882198642872,False,15218,82704,3441398
1955000,0.0049677793137095465,0.9959246051961284,0.0049677793137095465,0.004927648589323292,8.674168797953964,8.0,3.784437477367092,/nfs3_ib/nfs-ip34//home/def-ilafores/analysis/NovelTaxa/Provid19/tmp/sourmash/sketches/nMAGs_index.sbt.zip,part2.bin.35,a2b5cd10230c69bf92182f8d3765d3f7,0.9959246051961284,1955000,6,185722000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/projet_PROVID19/Saliva/preproc/GQ21/GQ21_unmatched_2.fastq,GQ21,2661cef0,393536000,31,DNA,1000,393536,True,0.842718745809712,0.999868275713277,0.9212935107614945,0.999868275713277,False,16958,99662,3441398
1892000,0.004807692307692308,0.9858490566037735,0.00477974060822898,0.0036136477094483115,6.6113769271664005,6.0,5.824881849098648,/nfs3_ib/nfs-ip34//home/def-ilafores/analysis/NovelTaxa/Provid19/tmp/sourmash/sketches/nMAGs_index.sbt.zip,part22.bin.28,f5e3018a643a6270315b02959ac5d91a,0.9916142557651991,1881000,7,183841000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/projet_PROVID19/Saliva/preproc/GQ21/GQ21_unmatched_2.fastq,GQ21,2661cef0,393536000,31,DNA,1000,393536,True,0.8418287689336568,0.9997283884287032,0.92077857868118,0.9997283884287032,False,12436,112098,3441398
1841000,0.0046780980647259714,0.5985045513654096,0.0046780980647259714,0.0028476799254256555,5.32319391634981,3.0,36.19010025773252,/nfs3_ib/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/gtdb-rs214-reps.k31.zip,"GCF_016651435.1 Catonella massiliensis strain=Marseille-Q4567 ASM1665143v1",4ea84ca56b0eeafc7bda08311b978d26,0.5985045513654096,1841000,8,182000000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/projet_PROVID19/Saliva/preproc/GQ21/GQ21_unmatched_2.fastq,GQ21,2661cef0,393536000,31,DNA,1000,393536,True,0.8410870491226184,0.9835775957017467,0.9123323224121827,0.9835775957017467,False,9800,121898,3441398
1738000,0.004416368515205725,0.708044099632503,0.004406204260855424,0.002906086421855304,5.767589388696655,5.0,4.020229879438755,/nfs3_ib/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/gtdb-rs214-reps.k31.zip,"GCA_916438835.1 uncultured Johnsonella sp. DRR214960_bin.42_metaWRAP_v1.1_MAG",f170f85b194a62af598949ce55f8146d,0.7096774193548387,1734000,9,180266000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/projet_PROVID19/Saliva/preproc/GQ21/GQ21_unmatched_2.fastq,GQ21,2661cef0,393536000,31,DNA,1000,393536,True,0.8395264136016669,0.988998233105713,0.91426232335369,0.988998233105713,False,10001,131899,3441398
