intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes
3354000,0.0024609794610205506,0.8861294583883752,0.0024609794610205506,0.005475467066336274,3.321109123434705,3.0,2.101562972472911,/nfs3_ib/nfs-ip34//home/def-ilafores/analysis/NovelTaxa/Boreal_mosses/tmp/sourmash/sketches/nMAGs_index.sbt.zip,Brown_V.bin.1,03486ec45fd47f4543de26df4b41d409,0.8861294583883752,3354000,0,20270000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-4-DICUND-B/S-4-DICUND-B_unmatched_2.fastq,S-4-DICUND-B,c3ae83df,1362872000,31,DNA,1000,1362872,True,0.8238387076304333,0.9961078450019462,0.9099732763161897,0.9961078450019462,False,11139,11139,2034347
2574000,0.0018886586561320505,0.5381559690570772,0.0018886586561320505,0.002394871671352036,1.8927738927738929,1.0,1.1983551266138026,/nfs3_ib/nfs-ip34//home/def-ilafores/analysis/NovelTaxa/Boreal_mosses/tmp/sourmash/sketches/nMAGs_index.sbt.zip,Green_V.bin.4,149bc73cde4daccce1ff3ad6c7928241,0.5381559690570772,2574000,1,17696000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-4-DICUND-B/S-4-DICUND-B_unmatched_2.fastq,S-4-DICUND-B,c3ae83df,1362872000,31,DNA,1000,1362872,True,0.8168343318388839,0.980211104343438,0.898522718091161,0.980211104343438,False,4872,16011,2034347
1436000,0.0010536572766921617,0.17838509316770187,0.0010536572766921617,0.0018516998329193594,2.6232590529247912,2.0,2.586549624644139,/nfs3_ib/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/gtdb-rs214-reps.k31.zip,"GCA_003168295.1 Actinobacteria bacterium 20110700_P1S",534fd927aebe6f237c90b1c711379652,0.17838509316770187,1436000,2,16260000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-4-DICUND-B/S-4-DICUND-B_unmatched_2.fastq,S-4-DICUND-B,c3ae83df,1362872000,31,DNA,1000,1362872,True,0.8016006196119201,0.9459110004491751,0.8737558100305476,0.9459110004491751,False,3767,19778,2034347
1066000,0.0007821717666809502,0.18139852966319028,0.0007785030435726906,0.0008376152151034214,1.6060320452403394,1.0,1.3463818218778756,/nfs3_ib/nfs-ip34//home/def-ilafores/analysis/NovelTaxa/Boreal_mosses/tmp/sourmash/sketches/nMAGs_index.sbt.zip,Brown_Z.bin.2,00ce00a9b6824f3d4635fbeb618f8c05,0.18225337664558044,1061000,3,15199000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-4-DICUND-B/S-4-DICUND-B_unmatched_2.fastq,S-4-DICUND-B,c3ae83df,1362872000,31,DNA,1000,1362872,True,0.7939331572019432,0.9465658352603946,0.8702494962311689,0.9465658352603946,False,1704,21482,2034347
1014000,0.0007440170463550503,0.12668282175551965,0.0006904536889744598,0.0009152814146259217,1.9787460148777896,1.0,1.8878139667644986,/nfs3_ib/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/gtdb-rs214-reps.k31.zip,"GCA_003140115.1 Actinobacteria bacterium 20110800_P3S",5d08828e11b23e9a21f980ed7f2267dc,0.13651050080775445,941000,4,14258000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-4-DICUND-B/S-4-DICUND-B_unmatched_2.fastq,S-4-DICUND-B,c3ae83df,1362872000,31,DNA,1000,1362872,True,0.7926533855394885,0.937782514845847,0.8652179501926678,0.937782514845847,False,1862,23344,2034347
582000,0.00042703936980141935,0.16126350789692437,0.00042703936980141935,0.0005151530196175972,1.8006872852233677,1.0,2.177232915939566,/nfs3_ib/nfs-ip34//home/def-ilafores/analysis/NovelTaxa/Boreal_mosses/tmp/sourmash/sketches/nMAGs_index.sbt.zip,Green_V.bin.5,7b27b0848ce39b7e6d2dbbd556a44f25,0.16126350789692437,582000,5,13676000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-4-DICUND-B/S-4-DICUND-B_unmatched_2.fastq,S-4-DICUND-B,c3ae83df,1362872000,31,DNA,1000,1362872,True,0.7785838959540988,0.9428370676288256,0.8607104817914621,0.9428370676288256,False,1048,24392,2034347
561000,0.000411630732746729,0.09724388975559023,0.000411630732746729,0.0004232316315751443,1.53475935828877,1.0,1.3974589828536055,/nfs3_ib/nfs-ip34//home/def-ilafores/analysis/NovelTaxa/Boreal_mosses/tmp/sourmash/sketches/nMAGs_index.sbt.zip,Brown_W.bin.4,ba83d614a40f3c3e583763a488b944cb,0.09724388975559023,561000,6,13115000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-4-DICUND-B/S-4-DICUND-B_unmatched_2.fastq,S-4-DICUND-B,c3ae83df,1362872000,31,DNA,1000,1362872,True,0.7776614556712124,0.9275779100043278,0.8526196828377701,0.9275779100043278,False,861,25253,2034347
553000,0.0004057607757735136,0.12034126627750337,0.0003932871172054309,0.00036571931927050795,1.3880597014925373,1.0,0.7472381761915807,/nfs3_ib/nfs-ip34//home/def-ilafores/analysis/NovelTaxa/Boreal_mosses/tmp/sourmash/sketches/nMAGs_index.sbt.zip,Brown_Y.bin.2,9ffa6ea1067881b644496d3439d08a0f,0.12415806017063313,536000,7,12579000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-4-DICUND-B/S-4-DICUND-B_unmatched_2.fastq,S-4-DICUND-B,c3ae83df,1362872000,31,DNA,1000,1362872,True,0.7773012334223726,0.9349177053501717,0.8561094693862721,0.9349177053501717,False,744,25997,2034347
541000,0.0003969558403136905,0.08065779169929523,0.0003023027841205924,0.0005225263929899865,2.5800970873786406,1.0,2.8439839399631315,/nfs3_ib/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/gtdb-rs214-reps.k31.zip,"GCA_003161205.1 Actinobacteria bacterium 20110600_P3S",4bd6cd7e887de98d85a6e5282d45962b,0.10591229444009397,412000,8,12167000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-4-DICUND-B/S-4-DICUND-B_unmatched_2.fastq,S-4-DICUND-B,c3ae83df,1362872000,31,DNA,1000,1362872,True,0.7767513313768909,0.9301364361942156,0.8534438837855532,0.9301364361942156,False,1063,27060,2034347
383000,0.0002810241900926866,0.04080980287693127,0.0002810241900926866,0.0002570849515839726,1.3655352480417755,1.0,0.772951795730231,/nfs3_ib/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/gtdb-rs214-reps.k31.zip,"GCF_002220365.1 Caballeronia sordidicola strain=PAMC 26633 ASM222036v1",8e53a40c47af10041f1ae723589e6530,0.04080980287693127,383000,9,11784000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-4-DICUND-B/S-4-DICUND-B_unmatched_2.fastq,S-4-DICUND-B,c3ae83df,1362872000,31,DNA,1000,1362872,True,0.7681452428858883,0.9019572452433764,0.8350512440646323,0.9019572452433764,False,523,27583,2034347
