intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes
2340000,0.005116107210868886,0.7468879668049793,0.005116107210868886,0.010438948629046658,16.33803418803419,11.0,49.39020290648875,/nfs3_ib/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/gtdb-rs214-reps.k31.zip,"GCF_000185845.1 Prevotella salivae DSM 15606 strain=DSM 15606 ASM18584v1",dff57ddcce4dd6b6a8940ac3baf34695,0.7468879668049793,2340000,0,225248000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/projet_PROVID19/Saliva/preproc/GQ5/GQ5_unmatched_2.fastq,GQ5,30c2bca5,457379000,31,DNA,1000,457379,True,0.8435189176693203,0.9906299786001135,0.9170744481347168,0.9906299786001135,False,38231,38231,3662342
2232000,0.00487997918575186,0.6992076069730586,0.004823133550075539,0.05303136626781442,88.0412511332729,87.0,79.56363096151462,/nfs3_ib/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/gtdb-rs214-reps.k31.zip,"GCF_000144405.1 Prevotella melaninogenica ATCC 25845 strain=ATCC 25845 ASM14440v1",33345282ddecaefe1682f1bd43bc7ffe,0.7074484944532489,2206000,1,223042000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/projet_PROVID19/Saliva/preproc/GQ5/GQ5_unmatched_2.fastq,GQ5,30c2bca5,457379000,31,DNA,1000,457379,True,0.8422341325186139,0.9888978803882006,0.9155660064534072,0.9888978803882006,False,194219,232450,3662342
2154000,0.0047094422787228975,0.7790235081374322,0.0047094422787228975,0.002670422369074215,4.540389972144847,4.0,3.076627836631563,/nfs3_ib/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/gtdb-rs214-reps.k31.zip,"GCF_013410305.1 Corynebacterium durum strain=DSM 45333 ASM1341030v1",bb2dbb46a577f5244bb32a0d740b2c37,0.7790235081374322,2154000,2,220888000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/projet_PROVID19/Saliva/preproc/GQ5/GQ5_unmatched_2.fastq,GQ5,30c2bca5,457379000,31,DNA,1000,457379,True,0.8412682512142436,0.99197706478914,0.9166226580016918,0.99197706478914,False,9780,242230,3662342
2096000,0.004582632783752643,0.6376678876678876,0.004567328189532095,0.002414302105046443,4.232647199617042,3.0,11.12965783884907,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/NovelTaxa/Saliva/tmp/sourmash/sketches/nMAGs_index.sbt.zip,part17.bin.7.fa_NODE_124_length_54447_cov_15.834075,13c8aba7eb292eac16cbcf064a3cde7e,0.6398046398046398,2089000,3,218799000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/projet_PROVID19/Saliva/preproc/GQ5/GQ5_unmatched_2.fastq,GQ5,30c2bca5,457379000,31,DNA,1000,457379,True,0.8405278320657145,0.9856970664371907,0.9131124492514526,0.9856970664371907,False,8842,251072,3662342
2124000,0.0046438511606348345,0.6761120263591434,0.004486432477223484,0.01663962568214547,29.697855750487328,27.0,21.527382609826827,/nfs3_ib/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/gtdb-rs214-reps.k31.zip,"GCF_000220255.1 Prevotella pallens ATCC 700821 strain=ATCC 700821 ASM22025v1",ae975e88c05929ca5d0da00e93b1b561,0.699835255354201,2052000,4,216747000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/projet_PROVID19/Saliva/preproc/GQ5/GQ5_unmatched_2.fastq,GQ5,30c2bca5,457379000,31,DNA,1000,457379,True,0.8408877183643839,0.9885527875129758,0.9147202529386799,0.9885527875129758,False,60940,312012,3662342
2040000,0.004460196029988259,0.6724934036939314,0.004458009659385324,0.001581774722295187,2.8410985777341833,2.0,2.5762064353313776,/nfs3_ib/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/gtdb-rs214-reps.k31.zip,"GCF_005696555.1 Actinomyces sp. oral taxon 171 str. F0337 strain=F0337 ASM569655v1",addc21e0789598ec415298641d9774f5,0.6728232189973615,2039000,5,214708000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/projet_PROVID19/Saliva/preproc/GQ5/GQ5_unmatched_2.fastq,GQ5,30c2bca5,457379000,31,DNA,1000,457379,True,0.8397938849695157,0.9872983663505247,0.9135461256600201,0.9872983663505247,False,5793,317805,3662342
2023000,0.004423027729738357,0.7434766629915472,0.004423027729738357,0.007755146843194873,14.039545229856648,9.0,51.61297872725575,/nfs3_ib/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/gtdb-rs214-reps.k31.zip,"GCA_001815675.1 Neisseria sp. HMSC065D04 strain=HMSC065D04 ASM181567v1",9b46f9ea46e94d34715c93e7cb3adcda,0.7434766629915472,2023000,6,212685000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/projet_PROVID19/Saliva/preproc/GQ5/GQ5_unmatched_2.fastq,GQ5,30c2bca5,457379000,31,DNA,1000,457379,True,0.8395672186321519,0.9904837015056087,0.9150254600688803,0.9904837015056087,False,28402,346207,3662342
2048000,0.004477686994811742,0.6639344262295082,0.004250304452106459,0.017951354624991332,33.818930041152264,33.0,24.413577558923198,/nfs3_ib/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/gtdb-rs214-reps.k31.zip,"GCF_000613925.1 Prevotella histicola JCM 15637 = DNF00424 strain=JCM 15637 ASM61392v1",eacfb5d41d7cf4b700ce1526b366572b,0.6994535519125683,1944000,7,210741000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/projet_PROVID19/Saliva/preproc/GQ5/GQ5_unmatched_2.fastq,GQ5,30c2bca5,457379000,31,DNA,1000,457379,True,0.8398999196861774,0.9885353901641408,0.914217654925159,0.9885353901641408,False,65744,411951,3662342
1916000,0.004189086075224267,0.7402396598376498,0.004186899704621332,0.005483649533549843,10.487206266318537,10.0,6.921131095531084,/nfs3_ib/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/gtdb-rs214-reps.k31.zip,"GCA_002355935.1 Rothia aeria strain=JCM 11412 ASM235593v1",eb948218f0408dc18f5b24385de1af7d,0.7406262079628914,1915000,8,208826000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/projet_PROVID19/Saliva/preproc/GQ5/GQ5_unmatched_2.fastq,GQ5,30c2bca5,457379000,31,DNA,1000,457379,True,0.8380967768597158,0.9903609746942826,0.9142288757769992,0.9903609746942826,False,20083,432034,3662342
2230000,0.00487560644454599,0.5868131868131868,0.004086326656886302,0.0070736157355047674,13.860888175494917,3.0,39.81448305523246,/nfs3_ib/nfs-ip34/home/def-ilafores/ref_dbs/sourmash_db/gtdb-rs214-reps.k31.zip,"GCF_018127785.1 Prevotella scopos JCM 17725 strain=W2052 ASM1812778v1",6a4cd333b22b8dc71d2bab8cbbfd6038,0.7001569858712716,1869000,9,206957000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/projet_PROVID19/Saliva/preproc/GQ5/GQ5_unmatched_2.fastq,GQ5,30c2bca5,457379000,31,DNA,1000,457379,True,0.8422097771156798,0.9885674442745184,0.915388610695099,0.9885674442745184,False,25906,457940,3662342
