Query_file	ANI	QS	accession	QS_ref
part10.bin.20	98.02	68.11999999999999		
part10.bin.21	98.35	77.71	GCF_000165735.1	98.23
part10.bin.28	97.4	81.71	GCF_000174755.1	99.32
part10.bin.3	98.53	92.17999999999999	GCF_000220255.1	97.60000000000001
part10.bin.33	98.35	73.09	GCA_015256945.1	89.91
part10.bin.4	96.4	84.52	GCA_013332525.2	91.83999999999999
part10.bin.41	97.83	74.14	GCA_013333285.2	95.72999999999999
part10.bin.49	96.94	88.18	GCF_002015045.1	100.0
part10.bin.62	98.12	81.48	GCF_022288825.1	99.50999999999999
part10.bin.66	97.19	99.60000000000001	GCA_003640335.1	74.06
part10.bin.67	96.53	76.19999999999999	GCA_927910985.1	58.949999999999996
part10.bin.7	97.74	99.06	GCA_015258065.1	99.12
part11.bin.14	96.85	86.61	GCF_016651435.1	94.41
part11.bin.17	97.6	81.56	GCF_007990445.1	98.5
part11.bin.18	97.68	92.55000000000001	GCA_013333035.2	97.48
part11.bin.19	99.83	55.56	GCF_000160855.1	98.02
part11.bin.2	96.29	58.379999999999995	GCF_014202695.1	97.03
part11.bin.23	97.61	86.77	GCA_015258095.1	93.55
part11.bin.24	98.15	63.53		
part11.bin.26	97.95	85.46000000000001	GCF_000278725.1	94.64
part11.bin.29	96.71	53.8	GCA_927911595.1	47.14
part13.bin.1	95.78	92.51	GCF_003054025.1	98.44
part13.bin.11	98.51	97.67		
part13.bin.14	96.91	80.8	GCF_000758755.1	78.27
part13.bin.16	96.56	76.13	GCA_003260355.1	74.91
part13.bin.24	95.44	96.77	GCA_900556355.1	59.080000000000005
part13.bin.28	96.85	93.02	GCF_000599605.1	99.57000000000001
part13.bin.30	98.68	81.69	GCA_018141845.1	99.1
part13.bin.4	97.71	92.48	GCA_013333195.2	96.08
part13.bin.41	97.37	89.29	GCF_002998925.1	98.39
part13.bin.43	96.38	97.63	GCF_006546825.1	99.8
part13.bin.46	97.86	98.18	GCF_000313615.1	99.38
part13.bin.48	97.05	80.36999999999999	GCF_000411115.1	98.84
part13.bin.55	96.87	87.97	GCF_000467855.2	99.6
part13.bin.57	97.78	92.8	GCA_900095835.1	90.69000000000001
part13.bin.59	96.62	96.55999999999999	GCF_003033925.1	99.39
part13.bin.7	96.31	96.65	GCF_000208405.1	99.64
part13.bin.8	98.27	51.61	GCF_018128245.1	99.66
part13.bin.9	97.32	97.39	GCA_001189495.1	99.03
part15.bin.10	97.01	65.19	GCA_003028315.1	99.3
part15.bin.12	97.59	88.52000000000001	GCF_003130255.1	99.55
part15.bin.8	97.53	65.61999999999999	GCF_002959775.1	99.25999999999999
part17.bin.15	96.45	90.13	GCA_013333255.2	98.95
part17.bin.27	97.14	99.72	GCF_000379965.1	99.88000000000001
part17.bin.33	96.84	87.85000000000001	GCF_000469505.1	96.94
part17.bin.6	97.66	86.46		
part17.bin.7	98.29	98.97	GCF_000613445.1	86.95
part17.bin.8	98.48	57.83	GCA_015258265.1	98.55
part18.bin.1	96.94	91.38000000000001	GCF_000185845.1	98.97
part18.bin.12	98.12	97.67999999999999	GCA_916710115.1	76.94000000000001
part18.bin.13	95.87	96.59	GCF_000239695.1	95.86
part18.bin.17	96.25	92.16	GCF_000701685.1	99.65
part18.bin.19	98.95	69.99	GCF_018128225.1	98.32
part18.bin.27	95.89	56.62	GCF_003048615.2	98.03
part19.bin.17	97.51	56.84	GCA_015259235.1	78.05
part19.bin.18	97.07	94.95	GCA_905369775.1	90.66
part19.bin.2	95.7	55.67	GCF_006384255.1	99.75
part19.bin.35	95.85	86.75999999999999	GCA_015257795.3	99.11
part19.bin.36	97.83	97.41000000000001	GCA_916438195.1	57.199999999999996
part2.bin.1	98.25	63.38999999999999	GCF_900637655.1	96.38000000000001
part2.bin.11	97.72	78.6	GCA_003260345.1	91.3
part2.bin.39	98.47	71.49	GCF_013410305.1	99.28
part2.bin.6	99.16	52.209999999999994	GCF_000466165.1	99.15
part2.bin.7	97.96	83.13	GCF_011612265.2	95.95
part20.bin.11	98.58	79.61	GCF_000614025.1	94.62
part20.bin.15	96.9	93.77000000000001	GCF_000144405.1	99.92
part20.bin.18	96.66	84.66	GCF_000164695.2	99.65
part22.bin.1	96.29	99.44000000000001	GCF_014647755.1	99.66
part22.bin.10	97.13	81.78999999999999	GCF_001553345.1	99.75
part22.bin.14	95.89	92.84	GCF_000175615.1	99.75
part22.bin.15	98.63	96.14999999999999	GCA_916438835.1	66.88
part22.bin.16	96.91	74.3	GCF_002763915.1	99.7
part22.bin.18	96.8	97.17999999999999	GCF_001815865.1	98.51
part22.bin.20	96.44	93.36	GCF_900155605.1	88.36
part22.bin.21	98.46	89.61999999999999	GCF_021300775.1	94.71
part22.bin.22	96.78	93.05	GCA_015257125.1	92.74000000000001
part22.bin.26	96.26	87.75	GCA_900556165.1	98.75
part22.bin.3	96.62	51.8	GCA_013333395.2	66.94000000000001
part22.bin.32	95.85	65.11	GCA_927911475.1	53.55
part22.bin.33	97.78	91.54	GCA_916438965.1	80.41000000000001
part22.bin.38	95.78	99.44		
part22.bin.4	97.47	70.74	GCF_000238055.2	99.51
part22.bin.40	96.98	88.17	GCF_900637555.1	98.92
part22.bin.43	98.25	81.32	GCF_001078375.1	97.9
part22.bin.5	97.82	95.9	GCA_905370385.1	90.47
part25.bin.27	98.4	58.459999999999994	GCF_003892345.1	96.86
part25.bin.28	95.65	96.03999999999999		
part31.bin.1	96.98	90.74	GCA_900551535.1	71.44
part31.bin.12	95.69	92.19999999999999	GCF_000785515.1	99.94
part31.bin.6	98.9	70.09	GCF_000420505.1	97.63
part31.bin.7	96.02	97.75	GCF_000160075.2	98.72
part31.bin.9	95.6	72.3	GCF_006385805.1	99.95
part6.bin.10	97.17	61.25999999999999		
part6.bin.11	97.12	60.790000000000006	GCA_013333295.2	88.04
part6.bin.13	97.69	77.68	GCA_916049765.1	84.48
part6.bin.19	97.77	71.77000000000001	GCA_916439065.1	57.28
part6.bin.28	97.15	96.52		
part6.bin.8	97.55	79.44	GCF_009728485.1	99.24
